cat,keep,keep_lat,keep_lon,merged,merged_lat,merged_lon,merged_was_group,footprint,footprint_dam2
hospital,Cedar-Sinai Medical Center,34.0748483,-118.378889,Biobank and Research Pathology Resource,34.0760028,-118.38238150000001,True,Cedars-Sinai Medical Center,125.93
hospital,Cedar-Sinai Medical Center,34.0748483,-118.378889,Vascular Surgery - Third,34.0737354,-118.3792403,True,Cedars-Sinai Medical Center,125.93
hospital,Cedar-Sinai Medical Center,34.0748483,-118.378889,Cardio-Oncology,34.0746919,-118.37897230000002,False,Cedars-Sinai Medical Center,125.93
hospital,Cedar-Sinai Medical Center,34.0748483,-118.378889,Goldman & Dubow Medical Corporation,34.0738287,-118.38043829999998,False,Cedars-Sinai Medical Center,125.93
hospital,Cedar-Sinai Medical Center,34.0748483,-118.378889,Good Beginnings,34.075153,-118.3802766,False,Cedars-Sinai Medical Center,125.93
hospital,Cedar-Sinai Medical Center,34.0748483,-118.378889,Hand Surgery,34.0740781,-118.3809386,False,Cedars-Sinai Medical Center,125.93
hospital,Cedar-Sinai Medical Center,34.0748483,-118.378889,Hypertension,34.0747274,-118.37904019999998,False,Cedars-Sinai Medical Center,125.93
hospital,Cedar-Sinai Medical Center,34.0748483,-118.378889,Medical Offices West,34.0740781,-118.3809386,False,Cedars-Sinai Medical Center,125.93
hospital,Cedar-Sinai Medical Center,34.0748483,-118.378889,Medical Records,34.0750175,-118.38059000000001,False,Cedars-Sinai Medical Center,125.93
hospital,Cedar-Sinai Medical Center,34.0748483,-118.378889,Noreen Oswell DPM,34.073947,-118.38049019999998,False,Cedars-Sinai Medical Center,125.93
hospital,Cedar-Sinai Medical Center,34.0748483,-118.378889,Psychological Trauma Center,34.0750072,-118.3828082,False,Cedars-Sinai Medical Center,125.93
hospital,Cedar-Sinai Medical Center,34.0748483,-118.378889,Regenerative Medicine,34.0746919,-118.37897230000002,False,Cedars-Sinai Medical Center,125.93
hospital,Cedar-Sinai Medical Center,34.0748483,-118.378889,The Menopause Center,34.073946899999996,-118.38049509999999,False,Cedars-Sinai Medical Center,125.93
hospital,Cedar-Sinai Medical Center,34.0748483,-118.378889,Transplant hospital,34.0737401,-118.3808045,False,Cedars-Sinai Medical Center,125.93
hospital,Cedar-Sinai Medical Center,34.0748483,-118.378889,Volunteer Services,34.075232,-118.3801756,False,Cedars-Sinai Medical Center,125.93
hospital,Cedar-Sinai Medical Center,34.0748483,-118.378889,8631 W 3rd St,34.0740781,-118.3809386,False,Cedars-Sinai Medical Center,125.93
hospital,Cedar-Sinai Medical Center,34.0748483,-118.378889,8700 Beverly Blvd,34.074686199999995,-118.37970879999999,False,Cedars-Sinai Medical Center,125.93
hospital,Cedar-Sinai Medical Center,34.0748483,-118.378889,Becker Building #220,34.0749961,-118.38056379999999,False,Cedars-Sinai Medical Center,125.93
hospital,Cedar-Sinai Medical Center,34.0748483,-118.378889,CSMC Ambulance Entrance,34.0758873,-118.381559,False,Cedars-Sinai Medical Center,125.93
hospital,Cedar-Sinai Medical Center,34.0748483,-118.378889,Davis Building,34.0763387,-118.38148439999999,False,Cedars-Sinai Medical Center,125.93
hospital,Cedar-Sinai Medical Center,34.0748483,-118.378889,North Tower Parking,34.0758626,-118.3814132,False,Cedars-Sinai Medical Center,125.93
hospital,Cedar-Sinai Medical Center,34.0748483,-118.378889,Pavilion Blood Draw Station,34.0746919,-118.37897230000002,False,Cedars-Sinai Medical Center,125.93
hospital,Cedar-Sinai Medical Center,34.0748483,-118.378889,Prescription Pickup Kiosk—Pavilion Pharmacy,34.0746919,-118.37897230000002,False,Cedars-Sinai Medical Center,125.93
hospital,Cedar-Sinai Medical Center,34.0748483,-118.378889,Susanne and Ervin Bard Pavilion,34.0746821,-118.3788037,False,Cedars-Sinai Medical Center,125.93
hospital,Cedar-Sinai Medical Center,34.0748483,-118.378889,south tower entrance,34.0750324,-118.38059690000001,False,Cedars-Sinai Medical Center,125.93
hospital,Children's Hospital Los Angeles,34.097451,-118.2898877,Childrens Hospital Immunology,34.0979709,-118.29050620000001,True,Children's Hospital Los Angeles,34.24
hospital,Children's Hospital Los Angeles,34.097451,-118.2898877,Dr. Albert Tu,34.0979709,-118.29050620000001,False,Children's Hospital Los Angeles,34.24
