cat,keep,keep_lat,keep_lon,merged,merged_lat,merged_lon,merged_was_group,footprint,footprint_dam2
library,USC Music Library,34.020144,-118.2837366,Doheny Memorial Library,34.0201643,-118.28369339999999,False,Edward L Doheny Junior Memorial Library,3.52
library,USC Music Library,34.020144,-118.2837366,East Asian Library,34.020144,-118.2837366,False,Edward L Doheny Junior Memorial Library,3.52
library,USC Music Library,34.020144,-118.2837366,Feuchtwanger Memorial Library,34.0201427,-118.28352369999999,False,Edward L Doheny Junior Memorial Library,3.52
library,USC Music Library,34.020144,-118.2837366,Gerontology Library,34.0201967,-118.28372519999999,False,Edward L Doheny Junior Memorial Library,3.52
library,Clifton M. Brakensiek Library,33.882444,-118.12142019999999,Bellflower Library,33.882444,-118.12142019999999,False,Clifton M. Brakensiek Library,2.61
library,Billie Jean King Main Library,33.7690872,-118.19460519999998,Long Beach Public Library Foundation,33.7689561,-118.1942261,False,Billie Jean King Main Library,5.12
library,East Los Angeles Library,34.0339873,-118.15972359999999,Chicano Resource Center,34.0339873,-118.15972370000001,False,East Los Angeles Public Library,2.03
library,Van Nuys Branch Library,34.1839722,-118.44618139999999,LA County Law Library,34.183973099999996,-118.44637909999999,False,Van Nuys Branch Los Angeles Public Library,1.12
library,LA County Library Administrative Offices,33.9278499,-118.1615975,Rosemead Library,34.0804438,-118.07729080000001,False,LA County Library,64.83
library,Los Angeles Central Library,34.0503317,-118.25494640000001,No current,34.0503317,-118.25494640000001,False,Los Angeles Public Library,9.11
library,Shatford Library,34.145341,-118.11728250000002,PCC Library,34.1452756,-118.11683029999999,False,Shatford Library,2.98
library,Powell Library,34.0716399,-118.4421766,UCLA Instructional Media,34.07161260000001,-118.44218089999998,False,Powell Library,4.22
